TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
550,1/6/2024,1008,102,404,0,39.1,0.35,Cash
551,1/6/2024,1009,105,403,0,19.78,0.45,Credit
552,1/16/2024,1004,107,404,0,335.1,0.60,Debit
553,1/16/2024,1006,102,406,0,195.5,0.10,Credit
554,1/25/2024,1005,102,405,0,117.3,0.20,Cash
555,1/25/2024,1001,101,401,0,2379.36,0.25,Cash
556,1/29/2024,1009,104,403,0,172.4,0.40,Credit
557,1/29/2024,1010,101,402,0,3172.48,0.60,Debit
558,2/6/2024,1002,102,402,0,312.8,0.20,Credit
559,2/6/2024,1001,106,401,0,622.86,0.50,Cash
560,2/6/2024,1010,101,402,0,6344.96,0.30,Debit
561,2/6/2024,1005,107,405,0,469.14,0.15,Debit
562,2/8/2024,1003,108,403,0,12.56,0.65,Cash
563,2/8/2024,1006,107,406,0,67.02,0.70,Credit
564,2/9/2024,1009,107,403,0,469.14,0.25,Credit
565,2/9/2024,1002,105,402,0,138.46,0.30,Debit
566,2/24/2024,1007,103,405,0,204.84,0.60,Debit
567,2/24/2024,1007,106,405,0,444.9,0.35,Credit
568,2/24/2024,1011,107,401,0,603.18,0.45,Credit
569,2/24/2024,1010,101,402,0,3965.6,0.60,Cash
570,2/27/2024,1010,107,402,0,402.12,0.20,Cash
571,2/27/2024,1011,106,401,0,533.88,0.70,Debit
572,3/20/2024,1005,105,405,0,178.02,0.60,Credit
573,3/20/2024,1001,101,401,0,7138.08,0.30,Debit
574,3/25/2024,1006,101,406,0,4758.72,0.50,Cash
575,3/25/2024,1001,108,401,0,75.36,0.20,Credit
576,4/7/2024,1001,108,401,0,113.04,0.45,Credit
577,4/7/2024,1005,104,405,0,387.9,0.70,Credit
578,4/10/2024,1006,106,406,0,800.82,0.85,Cash
579,4/10/2024,1008,106,404,0,800.82,0.55,Credit
580,4/11/2024,1004,103,404,0,22.76,0.40,Debit
581,4/11/2024,1009,101,403,0,793.12,0.60,Cash
582,4/19/2024,1001,101,401,0,6344.96,0.75,Debit
583,4/19/2024,1009,102,403,0,312.8,0.30,Debit
584,4/27/2024,1007,101,405,0,7138.08,0.50,Cash
585,4/27/2024,1002,108,402,0,113.04,0.60,Debit
586,4/30/2024,1001,105,401,0,39.56,0.70,Debit
587,4/30/2024,1007,102,405,0,78.2,0.80,Debit
588,5/2/2024,1002,102,402,0,117.3,0.25,Credit
589,5/2/2024,1007,102,405,0,117.3,0.20,Credit
590,5/8/2024,1005,107,405,1,603.18,0.60,Cash
591,5/8/2024,1004,101,404,1,7138.08,0.40,Debit
592,5/17/2024,1006,107,406,1,670.2,0.65,Credit
593,5/17/2024,1008,104,404,1,431,0.10,Cash
594,5/19/2024,1003,101,403,1,1586.24,0.70,Credit
595,5/19/2024,1006,108,406,1,25.12,0.65,Credit
596,5/29/2024,1011,105,401,0,98.9,0.75,Credit
597,5/29/2024,1008,102,404,0,195.5,0.50,Debit
598,6/6/2024,1001,104,401,0,387.9,0.65,Debit
599,6/6/2024,1004,102,404,0,351.9,0.25,Cash
600,6/12/2024,1010,103,402,0,182.08,0.80,Debit
601,6/12/2024,1005,106,405,0,711.84,0.50,Credit
602,6/17/2024,1007,101,405,0,2379.36,0.10,Debit
603,6/17/2024,1006,101,406,0,2379.36,0.40,Debit
604,6/20/2024,1009,102,403,0,39.1,0.30,Cash
605,6/20/2024,1002,108,402,0,12.56,0.40,Debit
606,7/2/2024,1005,105,405,0,79.12,0.45,Cash
607,7/2/2024,1011,108,401,0,50.24,0.65,Debit
608,7/4/2024,1003,102,403,0,39.1,0.20,Debit
609,7/4/2024,1004,101,404,0,3965.6,0.55,Credit
610,7/4/2024,1010,106,402,0,88.98,0.70,Credit
611,7/4/2024,1006,102,406,0,195.5,0.85,Credit
612,7/7/2024,1003,104,403,2,258.6,0.50,Credit
613,7/7/2024,1003,104,403,2,258.6,0.60,Credit
614,7/15/2024,1011,101,401,2,7138.08,0.55,Cash
615,7/15/2024,1010,104,402,2,387.9,0.10,Debit
616,7/17/2024,1001,107,401,2,134.04,0.75,Cash
617,7/17/2024,1003,107,403,2,134.04,0.50,Debit
618,7/21/2024,1001,104,401,2,172.4,0.30,Cash
619,7/21/2024,1008,105,404,2,79.12,0.45,Debit
620,7/25/2024,1007,108,405,0,125.6,0.60,Credit
621,7/25/2024,1010,101,402,0,7931.2,0.45,Debit
622,8/1/2024,1003,108,403,0,100.48,0.25,Cash
623,8/1/2024,1002,107,402,0,536.16,0.60,Debit
624,8/2/2024,1011,108,401,0,125.6,0.45,Debit
625,8/2/2024,1002,108,402,0,125.6,0.70,Credit
626,8/5/2024,1003,108,403,0,37.68,0.80,Cash
627,8/5/2024,1006,104,406,0,129.3,0.60,Credit
628,8/14/2024,1011,107,401,0,201.06,0.85,Credit
629,8/14/2024,1006,101,406,0,2379.36,0.50,Credit
630,8/21/2024,1007,104,405,0,172.4,0.40,Debit
631,8/21/2024,1002,107,402,0,268.08,0.20,Credit
632,8/25/2024,1006,108,406,0,75.36,0.60,Debit
633,8/25/2024,1002,104,402,0,258.6,0.80,Credit
634,8/28/2024,1006,105,406,0,39.56,0.30,Cash
635,8/28/2024,1005,106,405,0,177.96,0.50,Credit
636,9/5/2024,1005,107,405,3,1072.32,0.75,Credit
637,9/5/2024,1007,107,405,3,1072.32,0.45,Debit
638,9/22/2024,1001,101,401,3,6344.96,0.65,Credit
639,9/22/2024,1007,104,405,3,689.6,0.20,Credit
640,9/30/2024,1005,107,405,3,268.08,0.70,Debit
641,9/30/2024,1010,103,402,3,45.52,0.45,Cash
642,10/10/2024,1002,101,402,0,5551.84,0.25,Credit
643,10/10/2024,1010,104,402,0,301.7,0.30,Debit
